remarks,current_cin,to_delete,replace,cin_1,company_name_1,cin_2,company_name_2,cin_3,company_name_3
Company Names aren't Matching,CIN-2,U65993AP1991PTC013491,,U65993AP1991PTC013491,CASPIAN IMPACT INVESTMENTS,U65993TG1991PTC013491,CASPIAN IMPACT INVESTMENTS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U24231TG1995PTC020052,,U24231TG1995PTC020052,AFTON CHEMICAL HYDERABAD PRIVATE LIMITED,U24231MH1995PTC353036,AFTON CHEMICAL INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U60210TG2000PTC035714,,U60210TG2000PTC035714,ARUNACHALA LOGISTICS,U74110TG2000PTC035714,ARUNACHALA LOGISTICS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U15533DL1967PTC004735,,U15533DL1967PTC004735,BARMALT (INDIA),U70100DL1967PTC004735,BARMALT (INDIA) PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U40300MH2012PTC234746,,U40300MH2012PTC234746,KHANDKE WIND ENERGY,U40300TG2012PTC163263,KHANDKE WIND ENERGY PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74140MH2001PTC133168,,U74140MH2001PTC133168,MEDUSIND SOLUTIONS INDIA,U74990MH2019FTC321251,MEDUSIND SOLUTIONS INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U16001AP1994PTC018146,,U16001AP1994PTC018146,ALLIANCE ONE INDUSTRIES INDIA,U16001TG1994PTC018146,ALLIANCE ONE INDUSTRIES INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L74899DL1981PLC015865,,L74899DL1981PLC015865,NIIT,L74899HR1981PLC107123,NIIT LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1965PLC004322,,U74899DL1965PLC004322,CEMENT CORPORATION OF INDIA,U74899DL1965GOI004322,CEMENT CORPORATION OF INDIA LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1995PTC064055,,U74899DL1995PTC064055,WHARTON ENGINEERS AND DEVELOPERS,U55100DL1995PTC064055,WHARTON ENGINEERS AND DEVELOPERS PVT LTD,,
Company Names aren't Matching,CIN-2,U72900DL2006PLC153842,,U72900DL2006PLC153842,NILE TECH,U72900HR2006PLC077291,NILE TECH LIMITED,,
Company Names aren't Matching,CIN-2,U45200TN2007PTC064058,,U45200TN2007PTC064058,ASIA (CHENNAI) ENGINEERING COMPANY,U45200TG2007PTC118274,ASIA (CHENNAI) ENGINEERING COMPANY PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1987PTC029798,,U74899DL1987PTC029798,MICROMATIC MACHINE TOOLS,U74899KA1987PTC105765,MICROMATIC MACHINE TOOLS PRIVATE LTD,,
Company Names aren't Matching,CIN-2,U74899TN1991PTC082714,,U74899TN1991PTC082714,GANGES INTERNATIONALE,U74110TN1991PTC082714,GANGES INTERNATIONALE PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74140UP2011ULT052975,,U74140UP2011ULT052975,JAYPEE INFRA VENTURES (A PRIVATE COMPANY WITH UNLIMITED LIABILITY),U74140UP2011PTC052975,JAYPEE INFRA VENTURES PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U24231DL2006PTC144350,,U24231DL2006PTC144350,MOOLCHAND HEALTHCARE,U74110DL2006PTC144350,MOOLCHAND HEALTHCARE PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L72200DL1990PLC041275,,L72200DL1990PLC041275,AXISCADES ENGINEERING TECHNOLOGIES,L72200KA1990PLC084435,AXISCADES ENGINEERING TECHNOLOGIES LIMITED,,
Company Names aren't Matching,CIN-2,U51909KA2005PTC050069,,U51909KA2005PTC050069,MARKS AND SPENCER (INDIA),U51909HR2005PTC058682,MARKS AND SPENCER (INDIA) PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U67120MH1979PTC021789,,U67120MH1979PTC021789,ANAND INVESTMENT,U70200MH1979PTC021789,ANAND INVESTMENT PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L51430WB1918GOI003026,,L51430WB1918GOI003026,THE ORISSA MINERALS DEVELOPMENT COMPANY,L51430OR1918GOI034390,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,,
Company Names aren't Matching,CIN-2,U55101DL2001PTC112143,,U55101DL2001PTC112143,KUMARAKRUPPA FRONTIER HOTELS,U55101DL2001GOI112143,KUMARAKRUPPA FRONTIER HOTELS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U85110KA1974PLC002568,,U85110KA1974PLC002568,BHURUKA GASES,U40100KA1974PLC002568,BHURUKA GASES LIMITED,,
Company Names aren't Matching,CIN-2,U45200RJ2000PTC034234,,U45200RJ2000PTC034234,PROPERTY VENTURES (INDIA),U62100RJ2000PTC034234,PROPERTY VENTURES (INDIA) PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U32201MH1964PTC013085,,U32201MH1964PTC013085,DIVGI METALWARES PRIVATE LIMITED,U34300MH1995PTC092803,DIVGI TORQTRANSFER SYSTEMS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1993PTC054444,,U74899DL1993PTC054444,WOODWARD INDIA,U74899HR1993PTC091349,WOODWARD INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U29222PB1964PLC002568,,U29222PB1964PLC002568,FMI,U67100PB1964PLC002568,FMI LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1992PTC050465,,U74899DL1992PTC050465,WEIR MINERALS (INDIA),U74899KA1992PTC151576,WEIR MINERALS (INDIA) PRIVATE LIMITED.,,
Company Names aren't Matching,CIN-2,U74899DL1998PTC097297,,U74899DL1998PTC097297,INDIANOIL PETRONAS,U74899WB1998PTC219339,INDIANOIL PETRONAS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U29113DL2004PTC130074,,U29113DL2004PTC130074,RECAERO INDIA,U29113KA2004PTC184018,RECAERO INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L27109WB2005PLC101650,,L27109WB2005PLC101650,GALLANTT ISPAT,L27109DL2005PLC350523,GALLANTT ISPAT LIMITED,,
Company Names aren't Matching,CIN-2,U24230DL2003FTC183289,,U24230DL2003FTC183289,TEVA PHARMACEUTICAL AND CHEMICAL INDUSTRIES INDIA PRIVATE LI,U24230MH2003FTC326703,TEVA PHARMACEUTICAL AND CHEMICAL INDUSTRIES INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U45209DL2008PLC175321,,U45209DL2008PLC175321,DALMIA CEMENT EAST,U45209TN2008PLC110322,DALMIA CEMENT EAST LIMITED,,
Company Names aren't Matching,CIN-2,L24299DL1971PLC005854,,L24299DL1971PLC005854,ORIENT ABRASIVES,L24299MH1971PLC366531,ORIENT ABRASIVES LIMITED,,
Company Names aren't Matching,CIN-2,U72200MH2005PTC150644,,U72200MH2005PTC150644,V 2 TECH VENTURES,U74999MH2005PTC150644,V 2 TECH VENTURES PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U63090TN1990PTC020008,,U63090TN1990PTC020008,TRANSWORLD TERMINALS,U63090MH1990PTC353452,TRANSWORLD TERMINALS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U51909DL2009PLC194647,,U51909DL2009PLC194647,PJS OVERSEAS,U74999DL2009PLC194647,PJS OVERSEAS LIMITED,,
Company Names aren't Matching,CIN-2,L24110AP1980PLC002633,,L24110AP1980PLC002633,PREMIER EXPLOSIVES,L24110TG1980PLC002633,PREMIER EXPLOSIVES LIMITED,,
Company Names aren't Matching,CIN-2,U65999WB1994PLC065635,,U65999WB1994PLC065635,CHARTERED FINANCE & LEASING,U65999MH1994PLC416802,CHARTERED FINANCE & LEASING LTD.,,
Company Names aren't Matching,CIN-2,U40108DL2011PLC221875,,U40108DL2011PLC221875,GREEN INFRA WIND ENERGY PROJECT,U40108HR2011PLC070251,GREEN INFRA WIND ENERGY PROJECT LIMITED,,
